Outlets Name,Latitude,Longitude,Company,City,links,State,state_district,county,postcode,suburb,Distance
Om sridula kirana general,17.48625309,78.6072026,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48625309,78.6072026",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.704752449
Padma M/h,17.48093244,78.59135878,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48093244,78.59135878",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 3 Cherlapally,1.718678146
Sakshi super market,17.4831451,78.60384125,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4831451,78.60384125",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.729244564
SRI C S BAKERY' S,17.48616532,78.58141831,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48616532,78.58141831",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Ward 3 Cherlapally,1.762661965
Santosh kirana general,17.4814342,78.58773093,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4814342,78.58773093",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 3 Cherlapally,1.777154703
Krishna medical general Store,17.4827516,78.6043192,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4827516,78.6043192",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.788073438
Prince  poly clinic M/H,17.48110303,78.58767584,Naturo,Hydrabad,"https://www.google.com/maps/search/17.48110303,78.58767584",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 3 Cherlapally,1.809815516
Vara laxmi kgs,17.5074678,78.57868733,Naturo,Hydrabad,"https://www.google.com/maps/search/17.5074678,78.57868733",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Saket,1.867141396
Universe baker's,17.4903941,78.6118361,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4903941,78.6118361",Telangana,Medchal Malkajgiri District,Keesara mandal,500083,Nagaram,1.870400168
Balaji kirana general,17.4803772,78.5873854,Naturo,Hydrabad,"https://www.google.com/maps/search/17.4803772,78.5873854",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 3 Cherlapally,1.887984721
DHANALAXMI SMKT,17.49820184,78.57513456,Naturo,Hydrabad,"https://www.google.com/maps/search/17.49820184,78.57513456",Telangana,Medchal Malkajgiri District,Kapra mandal,500062,Saket,1.952997261
Sri Sai Balaji kirana general,17.47977824,78.58702257,Naturo,Hydrabad,"https://www.google.com/maps/search/17.47977824,78.58702257",Telangana,Medchal Malkajgiri District,Kapra mandal,500083,Ward 3 Cherlapally,1.957264054
